Año,Municipio,Código de Municipio,Camiones,Furgonetas,Autobuses,Turismos,Motocicletas,Tractores industriales,Ciclomotores,Otros vehículos,Total vehículos
2022,Ababuj,44001,10,21,0,51,2,1,1,7,93
2022,Abades,40001,70,72,0,537,55,7,26,36,803
2022,Abadiño,48001,439,410,2,4014,487,19,104,201,5676
2022,Abadía,10001,36,31,0,202,26,2,17,6,320
2022,Abadín,27001,171,256,4,1777,168,110,175,72,2733
2022,Abajas,9001,5,6,0,23,1,0,2,2,39
2022,Abaltzisketa,20001,20,47,0,205,35,0,9,8,324
2022,Abanilla,30001,529,423,36,3762,390,73,435,144,5792
2022,Abanto,50001,8,13,0,72,7,0,2,4,106
2022,Abanto y Ciérvana-Abanto Zierbena,48002,540,453,62,5163,694,112,234,237,7495
2022,Abarca de Campos,34001,6,0,0,40,3,4,1,4,58
2022,Abarán,30002,757,527,13,7272,1077,44,1230,64,10984
2022,Abaurregaina/Abaurrea Alta,31003,18,25,0,90,7,1,0,5,146
2022,Abaurrepea/Abaurrea Baja,31004,9,11,0,16,4,0,2,3,45
2022,Abegondo,15001,457,326,0,4017,422,39,160,137,5558
2022,Abejar,42001,27,41,3,149,11,1,4,4,240
2022,Abejuela,44002,9,14,0,20,9,0,0,1,53
2022,Abella de la Conca,25001,51,79,0,169,16,67,12,12,406
2022,Abengibre,2001,126,80,0,456,48,24,48,15,797
2022,Abenójar,13001,202,188,0,704,62,10,81,59,1306
2022,Aberin,31005,34,52,0,261,44,2,14,19,426
2022,Abertura,10002,28,26,0,280,16,0,25,7,382
2022,Abezames,49002,7,8,0,57,9,0,3,0,84
2022,Abia de la Obispalía,16001,6,7,0,59,7,0,1,2,82
2022,Abia de las Torres,34003,14,16,0,152,10,1,2,5,200
2022,Abiego,22001,33,47,0,164,31,2,11,7,295
2022,Abizanda,22002,21,21,0,85,10,2,4,8,151
2022,Abla,4001,93,115,0,744,139,11,137,35,1274
2022,Ablanque,19002,5,28,0,41,1,0,2,2,79
2022,Ablitas,31006,209,183,6,1486,203,12,261,38,2398
2022,Abrera,8001,591,573,6,7156,1388,91,234,678,10717
2022,Abrucena,4002,162,165,4,824,186,17,131,46,1535
2022,Abusejo,37001,7,13,0,114,4,0,17,2,157
2022,Abáigar,31001,7,13,0,67,10,0,3,4,104
2022,Abánades,19001,7,10,0,32,8,0,6,5,68
2022,Abárzuza/Abartzuza,31002,46,71,0,316,46,0,21,10,510
2022,"Acebeda, La",28001,5,10,0,40,5,0,1,2,63
2022,Acebedo,24001,15,33,0,118,13,1,5,9,194
2022,Acebo,10003,69,62,0,343,17,3,48,30,572
2022,"Acebrón, El",16002,22,19,0,167,20,0,34,5,267
2022,Acedera,6001,69,72,0,600,32,3,55,22,853
2022,Acehúche,10004,81,124,0,436,33,14,68,31,787
2022,Aceituna,10005,65,54,0,348,18,0,30,11,526
2022,Acered,50002,27,31,0,104,8,0,5,9,184
2022,Aceuchal,6002,575,547,0,3307,356,144,506,173,5608
2022,Adahuesca,22003,26,27,0,110,10,0,11,6,190
2022,Adalia,47001,2,5,0,58,12,0,3,0,80
2022,Adamuz,14001,329,473,0,2362,232,21,294,83,3794
2022,Adanero,5001,12,15,0,155,8,5,10,5,210
2022,Adeje,38001,3529,2878,110,30567,4955,38,1299,529,43905
2022,Ademuz,46001,137,118,2,577,80,4,94,39,1051
2022,Adiós,31007,7,20,0,85,16,0,1,3,132
2022,Adobes,19003,5,5,0,30,2,0,1,3,46
2022,Ador,46002,140,82,0,945,190,3,169,12,1541
2022,Adra,4003,3312,1414,24,12824,1285,228,1254,458,20799
2022,Adrada de Haza,9003,9,25,0,143,13,21,8,6,225
2022,Adrada de Pirón,40002,7,2,0,39,5,0,4,0,57
2022,"Adrada, La",5002,216,295,0,1382,187,6,109,60,2255
2022,Adradas,42003,10,11,0,71,2,0,4,4,102
2022,Adrados,40003,6,16,0,94,5,3,0,9,133
2022,Adsubia,3001,59,43,0,469,53,6,50,4,684
2022,Aduna,20002,163,98,3,347,50,25,19,48,753
2022,Agaete,35001,537,257,0,2538,419,16,255,64,4086
2022,Agallas,37002,19,18,0,93,10,4,21,9,174
2022,Agolada,36020,204,168,8,1796,112,13,92,75,2468
2022,Agoncillo,26002,166,115,2,789,109,99,100,34,1414
2022,Agost,3002,486,295,1,2698,432,106,346,63,4427
2022,Agramunt,25003,439,396,0,3181,374,64,269,120,4843
2022,Agres,3003,70,58,0,386,66,0,36,19,635
2022,Agrón,18001,28,37,0,197,27,2,18,6,315
2022,Aguadulce,41001,172,116,0,1119,112,32,205,48,1804
2022,Aguarón,50004,44,60,0,387,46,0,69,12,618
2022,Aguas Cándidas,9006,2,7,0,48,14,0,4,5,80
2022,Aguasal,47002,3,2,0,11,0,0,0,2,18
2022,Aguatón,44003,2,1,0,19,0,0,0,0,22
2022,Aguaviva,44004,71,63,0,360,60,20,60,30,664
2022,Agudo,13002,308,306,0,874,97,9,126,50,1770
2022,Aguilafuente,40004,48,52,0,380,33,5,16,11,545
2022,Aguilar de Bureba,9007,5,3,0,38,4,0,2,3,55
2022,Aguilar de Campoo,34004,269,463,28,3702,333,38,103,134,5070
2022,Aguilar de Campos,47003,22,21,0,216,22,0,8,4,293
2022,Aguilar de Codés,31008,5,16,0,44,6,0,0,3,74
2022,Aguilar de Segarra,8002,290,686,0,8440,229,91,23,42,9801
2022,Aguilar de la Frontera,14002,1025,1141,4,6752,1331,142,1493,141,12029
2022,Aguilar del Alfambra,44005,8,15,0,54,6,0,0,5,88
2022,Aguilar del Río Alhama,26003,63,72,0,246,38,2,35,8,464
2022,Aguilón,50005,10,19,0,112,15,0,5,7,168
2022,Agullana,17001,64,108,0,566,78,12,35,18,881
2022,Agullent,46004,160,142,0,1547,207,14,219,8,2297
2022,Agulo,38002,151,69,61,470,35,1,25,8,820
2022,Agón,50003,14,13,0,97,16,0,16,2,158
2022,Agüero,22004,14,40,0,87,9,1,9,4,164
2022,Agüimes,35002,4418,3058,405,21940,1562,119,504,545,32551
2022,Ahigal,10006,203,145,5,696,80,3,72,41,1245
2022,Ahigal de Villarino,37004,6,6,0,18,2,0,2,4,38
2022,Ahigal de los Aceiteros,37003,9,5,0,66,2,0,4,4,90
2022,Ahillones,6003,41,66,0,595,55,4,122,11,894
2022,Aia,20016,167,194,6,1049,209,29,92,64,1810
2022,Aibar/Oibar,31009,70,79,1,502,55,3,33,18,761
2022,Aielo de Malferit,46042,503,240,0,2457,300,30,385,39,3954
2022,Aielo de Rugat,46043,33,24,0,107,18,4,14,7,207
2022,Aiguafreda,8014,146,180,0,1406,256,0,88,37,2113
2022,Aiguamúrcia,43001,88,135,0,590,125,0,56,31,1025
2022,Aiguaviva,17002,183,216,0,574,134,13,35,48,1203
2022,Aigües,3004,57,81,0,852,116,14,37,12,1169
2022,Ainzón,50006,81,71,0,622,88,5,112,42,1021
2022,Aisa,22006,27,39,1,171,28,2,8,20,296
2022,Aitona,25038,281,137,0,1382,136,6,180,97,2219
2022,Aizarnazabal,20003,54,68,0,408,55,3,21,16,625
2022,Ajalvir,28002,1293,1176,10,7208,523,911,101,285,11507
2022,Ajamil de Cameros,26004,14,26,0,47,6,0,1,5,99
2022,Ajangiz,48911,31,22,0,292,62,0,22,8,437
2022,Ajofrín,45001,239,180,1,1392,123,21,213,61,2230
2022,Alacón,44006,19,24,0,143,10,0,17,11,224
2022,Aladrén,50007,3,7,0,35,10,0,1,2,58
2022,Alaejos,47004,98,92,0,852,88,17,70,31,1248
2022,Alagón,50008,290,312,0,3757,392,56,361,143,5311
2022,Alagón del Río,10903,86,60,1,501,32,3,58,18,759
2022,Alaior,7002,938,550,8,5656,971,125,408,91,8747
2022,Alajeró,38003,229,115,0,866,93,2,54,18,1377
2022,Alameda,29001,434,423,15,3190,339,25,472,95,4993
2022,"Alameda de Gardón, La",37005,4,10,0,48,6,0,8,1,77
2022,Alameda de la Sagra,45002,240,190,1,2162,163,42,175,64,3037
2022,Alameda del Valle,28003,25,27,0,139,16,0,2,4,213
2022,Alamedilla,18002,35,83,26,408,33,7,49,16,657
2022,"Alamedilla, La",37006,13,8,0,66,2,0,18,3,110
2022,Alamillo,13003,60,61,1,299,8,1,39,12,481
2022,Alaminos,19004,7,10,0,48,10,0,2,1,78
2022,"Alamús, Els",25004,87,67,20,563,103,27,40,22,929
2022,Alange,6004,124,133,0,1198,97,4,156,26,1738
2022,Alanís,41002,225,121,0,939,96,3,187,25,1596
2022,Alaquàs,46005,1439,995,21,14884,2158,234,735,183,20649
2022,Alar del Rey,34005,61,85,1,582,51,15,29,21,845
